dataset,model,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc
mid,dummy,0.6257575757575757,0.021212121212121196,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6428571428571429,0.5,0.0,0.0,0.0,0.5
mid,logistic_regression,0.696969696969697,0.06910154091509929,0.6978571428571428,0.03126581232605613,0.6476190476190476,0.1865062478815823,0.71,0.19078784028338913,0.6342857142857142,0.04067458381726213,0.7271428571428571,0.15067196426783097,0.6428571428571429,0.5888888888888889,0.5,0.4,0.4444444444444444,0.5333333333333334
mid,random_forest,0.7484848484848484,0.07145349165182788,0.702857142857143,0.11151553383145457,0.7666666666666666,0.2,0.52,0.27676705006196095,0.570952380952381,0.18450399279150864,0.8399999999999999,0.09504027073417087,0.35714285714285715,0.3666666666666667,0.25,0.4,0.3076923076923077,0.4222222222222223
mid,svm,0.6803030303030303,0.10100505037878159,0.6614285714285714,0.1002649551163805,0.6276190476190476,0.20564372687643093,0.58,0.2135415650406262,0.5708513708513708,0.1145477777214977,0.7685714285714285,0.1412480810778089,0.7142857142857143,0.6888888888888889,0.6,0.6,0.6,0.6222222222222222
mid,xgboost,0.7121212121212122,0.0929073316167024,0.6850000000000002,0.06709724894752787,0.6857142857142856,0.18220120447341895,0.5700000000000001,0.09797958971132711,0.6019480519480519,0.07470637412088134,0.7357142857142857,0.1558387444947959,0.2857142857142857,0.26666666666666666,0.14285714285714285,0.2,0.16666666666666666,0.22222222222222227
mid,voting,0.7833333333333334,0.09481507786158797,0.7585714285714286,0.09361231385946213,0.8142857142857143,0.22857142857142856,0.6599999999999999,0.20591260281974,0.6898989898989899,0.12500790710630288,0.7842857142857144,0.11161157134071203,0.42857142857142855,0.4222222222222222,0.2857142857142857,0.4,0.3333333333333333,0.4222222222222223
transfer,dummy,0.6257575757575757,0.021212121212121196,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6428571428571429,0.5,0.0,0.0,0.0,0.5
transfer,logistic_regression,0.6984848484848485,0.16265135636751082,0.7135714285714285,0.14656613747063552,0.6222222222222221,0.20306296536107848,0.77,0.20396078054371142,0.6664535464535464,0.168492047498656,0.7557142857142857,0.13823966175317648,0.7857142857142857,0.7,1.0,0.4,0.5714285714285714,0.688888888888889
transfer,random_forest,0.7484848484848484,0.07145349165182788,0.702857142857143,0.11151553383145457,0.7666666666666666,0.2,0.52,0.27676705006196095,0.570952380952381,0.18450399279150864,0.8242857142857142,0.0834950811211569,0.6428571428571429,0.6333333333333333,0.5,0.6,0.5454545454545454,0.7333333333333334
transfer,svm,0.7348484848484848,0.14358009382402584,0.7364285714285714,0.15041439357959852,0.6476190476190476,0.1865062478815823,0.73,0.24819347291981714,0.6686291486291486,0.1885006123567979,0.8214285714285715,0.10594569267279517,0.7857142857142857,0.788888888888889,0.6666666666666666,0.8,0.7272727272727273,0.7555555555555555
transfer,xgboost,0.6590909090909091,0.07329325225725956,0.615,0.06240911759657935,0.619047619047619,0.20592141248037765,0.43,0.18601075237738274,0.47099567099567097,0.11280026363952447,0.7842857142857143,0.1045300464567241,0.5714285714285714,0.5777777777777777,0.42857142857142855,0.6,0.5,0.46666666666666673
transfer,voting,0.75,0.10562681853292956,0.7350000000000001,0.08560707580902074,0.75,0.22360679774997896,0.67,0.18867962264113208,0.6714285714285715,0.11308897225750396,0.7842857142857144,0.11998299199197751,0.8571428571428571,0.8444444444444444,0.8,0.8,0.8,0.7333333333333334
