dataset,model,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,best_cv_score,best_params,seed,experiment
mid,dummy,0.6233333333333333,0.0517472489875334,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6428571428571429,0.5,0.0,0.0,0.0,0.5,,,1,real
mid,logistic_regression,0.7533333333333333,0.20066555924389884,0.7333333333333333,0.214249335536374,0.7,0.339934634239519,0.6666666666666666,0.31622776601683794,0.6566666666666666,0.2959166549328825,0.7708333333333334,0.20004339806929672,0.42857142857142855,0.37777777777777777,0.2,0.2,0.2,0.4666666666666667,0.6566666666666666,{'model__C': 10},1,real
mid,random_forest,0.68,0.16069294390925268,0.6291666666666667,0.17225022173828658,0.5499999999999999,0.35784850922639816,0.4666666666666666,0.27688746209726917,0.49000000000000005,0.29022979401386984,0.7166666666666667,0.2867441755680875,0.7142857142857143,0.6888888888888889,0.6,0.6,0.6,0.6666666666666667,0.49000000000000005,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 300}",1,real
mid,svm,0.7533333333333333,0.16343534229508352,0.7458333333333333,0.18394783378870097,0.6416666666666666,0.29825883613622134,0.75,0.33541019662496846,0.6657142857142857,0.27861660195392834,0.7875000000000001,0.17425436388605403,0.5714285714285714,0.5333333333333333,0.4,0.4,0.4,0.5555555555555556,0.6657142857142857,"{'model__C': 1, 'model__gamma': 0.01}",1,real
mid,xgboost,0.67,0.26975297341580257,0.6458333333333333,0.2784193978714685,0.6499999999999999,0.39756201472921876,0.5666666666666667,0.3511884584284246,0.5733333333333334,0.3309246305597562,0.7027777777777777,0.33891165679437923,0.6428571428571429,0.6777777777777778,0.5,0.8,0.6153846153846154,0.688888888888889,0.5733333333333334,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8}",1,real
mid,voting_tuned,0.7533333333333333,0.20066555924389884,0.7291666666666667,0.20854156260403664,0.6833333333333333,0.3452052529534663,0.6333333333333333,0.33166247903553997,0.63,0.30566866593312003,0.7875000000000001,0.16504418600281964,0.5,0.43333333333333335,0.25,0.2,0.2222222222222222,0.5111111111111111,0.63,,1,real
transfer,dummy,0.6233333333333333,0.0517472489875334,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6428571428571429,0.5,0.0,0.0,0.0,0.5,,,1,real
transfer,logistic_regression,0.7366666666666667,0.16292465879799917,0.7416666666666667,0.170579079087156,0.59,0.27610384519838427,0.7666666666666666,0.32659863237109044,0.6504761904761905,0.2764465151470741,0.8375,0.16504418600281964,0.5714285714285714,0.5333333333333333,0.4,0.4,0.4,0.7111111111111111,0.6504761904761905,{'model__C': 0.01},1,real
transfer,random_forest,0.79,0.18502252115170556,0.7666666666666666,0.1938283891602168,0.79,0.3419064199455752,0.6666666666666666,0.31622776601683794,0.6871428571428572,0.28778653275539867,0.8444444444444444,0.1640771047291373,0.7142857142857143,0.6444444444444444,0.6666666666666666,0.4,0.5,0.6888888888888889,0.6871428571428572,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 100}",1,real
transfer,svm,0.7533333333333333,0.16343534229508352,0.7666666666666667,0.1504622507105649,0.69,0.21962088546705508,0.8166666666666667,0.22912878474779202,0.7171428571428572,0.17231516766321742,0.825,0.1755942292142123,0.5714285714285714,0.5333333333333333,0.4,0.4,0.4,0.5555555555555556,0.7171428571428572,"{'model__C': 1, 'model__gamma': 0.01}",1,real
transfer,xgboost,0.7366666666666666,0.21522597943143904,0.7333333333333332,0.22530843057659627,0.6733333333333333,0.31860808387596057,0.7166666666666666,0.3253203549323856,0.6704761904761904,0.2932637517967637,0.7499999999999999,0.2465033242958173,0.5714285714285714,0.5333333333333333,0.4,0.4,0.4,0.7555555555555556,0.6704761904761904,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.9}",1,real
transfer,voting_tuned,0.7166666666666666,0.1904672616954887,0.6749999999999999,0.2056493779875511,0.55,0.4153311931459037,0.5,0.3872983346207417,0.5,0.3651483716701107,0.825,0.1755942292142123,0.5714285714285714,0.5333333333333333,0.4,0.4,0.4,0.6000000000000001,0.5,,1,real
mid,dummy,0.6233333333333333,0.0517472489875334,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6428571428571429,0.5,0.0,0.0,0.0,0.5,,,42,real
mid,logistic_regression,0.74,0.18903262505010432,0.7333333333333333,0.18837757592428858,0.6833333333333333,0.27335365778094545,0.7166666666666666,0.23629078131263043,0.6799999999999999,0.23007245235649867,0.8069444444444445,0.15743531887613285,0.5,0.4777777777777778,0.3333333333333333,0.4,0.36363636363636365,0.33333333333333337,0.6799999999999999,{'model__C': 0.1},42,real
mid,random_forest,0.7366666666666666,0.17220788470785986,0.7083333333333333,0.1707825127659933,0.7333333333333333,0.27080128015453203,0.6166666666666666,0.19790570145063197,0.6471428571428571,0.19542905875739852,0.7972222222222223,0.1913644961072204,0.2857142857142857,0.2222222222222222,0.0,0.0,0.0,0.2888888888888889,0.6471428571428571,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 300}",42,real
mid,svm,0.72,0.18571184369578828,0.7208333333333333,0.1738553837085422,0.6916666666666667,0.2688710967483613,0.7166666666666666,0.23629078131263043,0.6666666666666667,0.19720265943665388,0.8208333333333334,0.1963645277991363,0.5,0.4777777777777778,0.3333333333333333,0.4,0.36363636363636365,0.37777777777777777,0.6666666666666667,"{'model__C': 1, 'model__gamma': 0.01}",42,real
mid,xgboost,0.7166666666666666,0.24048561980570343,0.7124999999999999,0.24040619561252763,0.65,0.29297326385411576,0.7166666666666666,0.23629078131263043,0.6771428571428572,0.26857142857142857,0.6791666666666667,0.29875319617072255,0.2857142857142857,0.26666666666666666,0.14285714285714285,0.2,0.16666666666666666,0.15555555555555556,0.6771428571428572,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",42,real
mid,voting_tuned,0.7366666666666666,0.13617798810543666,0.7083333333333333,0.12360330811826103,0.75,0.2608745973749755,0.6166666666666666,0.19790570145063194,0.64,0.1518771433319269,0.8319444444444445,0.16391831185978872,0.5,0.43333333333333335,0.25,0.2,0.2222222222222222,0.33333333333333337,0.64,,42,real
transfer,dummy,0.6233333333333333,0.0517472489875334,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6428571428571429,0.5,0.0,0.0,0.0,0.5,,,42,real
transfer,logistic_regression,0.7566666666666666,0.20333333333333337,0.7583333333333333,0.19702650695894816,0.7083333333333333,0.26153924710792026,0.7666666666666666,0.23804761428476165,0.7133333333333334,0.22271057451320087,0.8333333333333334,0.19543398999264291,0.6428571428571429,0.5888888888888889,0.5,0.4,0.4444444444444444,0.48888888888888893,0.7133333333333334,{'model__C': 0.01},42,real
transfer,random_forest,0.74,0.17371752294393844,0.7083333333333333,0.1707825127659933,0.7333333333333333,0.27080128015453203,0.6166666666666666,0.19790570145063197,0.6471428571428571,0.19542905875739852,0.8375,0.1530363972683913,0.5,0.43333333333333335,0.25,0.2,0.2222222222222222,0.6000000000000001,0.6471428571428571,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 100}",42,real
transfer,svm,0.74,0.2031966753883756,0.7458333333333333,0.19315544977498766,0.6916666666666667,0.2688710967483613,0.7666666666666666,0.23804761428476165,0.7,0.22110831935702666,0.8569444444444445,0.15897166647154684,0.5,0.4777777777777778,0.3333333333333333,0.4,0.36363636363636365,0.4666666666666667,0.7,"{'model__C': 1, 'model__gamma': 0.01}",42,real
transfer,xgboost,0.6933333333333332,0.21746008573733455,0.6666666666666666,0.22047927592204922,0.575,0.3258535799336192,0.5833333333333333,0.30956959368344517,0.5633333333333334,0.2971905486757986,0.7430555555555556,0.2412232522113227,0.5,0.43333333333333335,0.25,0.2,0.2222222222222222,0.4444444444444444,0.5633333333333334,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.9}",42,real
transfer,voting_tuned,0.72,0.13349989596333858,0.6833333333333333,0.1371839802762861,0.6833333333333333,0.34520525295346627,0.5333333333333333,0.27688746209726917,0.5566666666666666,0.24269322199023194,0.8569444444444445,0.15897166647154684,0.7857142857142857,0.7,1.0,0.4,0.5714285714285714,0.48888888888888893,0.5566666666666666,,42,real
mid,dummy,0.6233333333333333,0.0517472489875334,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6428571428571429,0.5,0.0,0.0,0.0,0.5,,,123,real
mid,logistic_regression,0.6633333333333333,0.24919871588754228,0.6458333333333333,0.27211236445426157,0.5583333333333333,0.36902649709140883,0.6,0.37416573867739417,0.5623809523809524,0.35020207966064315,0.7458333333333333,0.24040619561252763,0.6428571428571429,0.5888888888888889,0.5,0.4,0.4444444444444444,0.8222222222222223,0.5623809523809524,{'model__C': 0.1},123,real
mid,random_forest,0.6666666666666666,0.22949219304078008,0.6458333333333333,0.25155764746872633,0.5416666666666667,0.3637192140465865,0.5666666666666667,0.3511884584284246,0.5433333333333332,0.34481879299133333,0.7305555555555555,0.21767925776072294,0.6428571428571429,0.5444444444444444,0.5,0.2,0.2857142857142857,0.6666666666666666,0.5433333333333332,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 300}",123,real
mid,svm,0.6433333333333333,0.22854612955229267,0.6291666666666667,0.2544397440128671,0.525,0.3416666666666667,0.6,0.37416573867739417,0.5423809523809524,0.32975253553820866,0.6597222222222222,0.26954823316059784,0.6428571428571429,0.5888888888888889,0.5,0.4,0.4444444444444444,0.8222222222222223,0.5423809523809524,"{'model__C': 1, 'model__gamma': 0.01}",123,real
mid,xgboost,0.7333333333333333,0.19264244369066522,0.7416666666666666,0.2131118642090737,0.6083333333333333,0.2739880370462266,0.8,0.33166247903554,0.6790476190476191,0.28151839675188295,0.7708333333333333,0.25361962989222003,0.5714285714285714,0.48888888888888893,0.3333333333333333,0.2,0.25,0.6,0.6790476190476191,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.9}",123,real
mid,voting_tuned,0.6466666666666666,0.1765093639316497,0.5583333333333333,0.1938283891602168,0.3333333333333333,0.4472135954999579,0.2333333333333333,0.3265986323710904,0.25666666666666665,0.34578413304642347,0.75,0.22669117514559073,0.7142857142857143,0.6444444444444444,0.6666666666666666,0.4,0.5,0.8222222222222223,0.25666666666666665,,123,real
transfer,dummy,0.6233333333333333,0.0517472489875334,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6428571428571429,0.5,0.0,0.0,0.0,0.5,,,123,real
transfer,logistic_regression,0.6799999999999999,0.19390719429665318,0.6791666666666666,0.2125,0.575,0.2945099507845382,0.7,0.33166247903554,0.6090476190476191,0.2764403631462259,0.7097222222222221,0.2537108845969423,0.7857142857142857,0.7444444444444445,0.75,0.6,0.6666666666666666,0.8666666666666667,0.6090476190476191,{'model__C': 0.01},123,real
transfer,random_forest,0.7899999999999999,0.18502252115170556,0.7791666666666667,0.20501524333570909,0.7,0.33166247903554,0.75,0.33541019662496846,0.7,0.30550504633038933,0.7916666666666666,0.24295632895188754,0.6428571428571429,0.5444444444444444,0.5,0.2,0.2857142857142857,0.688888888888889,0.7,"{'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 300}",123,real
transfer,svm,0.66,0.18245242911205348,0.6666666666666666,0.2066599461272874,0.5416666666666666,0.26153924710792026,0.7,0.33166247903554,0.5890476190476192,0.25373446580691794,0.7708333333333333,0.18563891174954553,0.6428571428571429,0.5888888888888889,0.5,0.4,0.4444444444444444,0.7555555555555555,0.5890476190476192,"{'model__C': 10, 'model__gamma': 0.01}",123,real
