feature,importance
CAPNOMETRIA_TRANSFERENCIA,0.19718684225270558
EDAD,0.1775625352367172
ADRENALINA_N,0.13447456275605296
IMC,0.09184341734310099
CARDIOCOMPRESION_EXTRAHOSPITALARIA,0.07318775179970508
COLESTEROL,0.061338194194783785
GRUPO_SANGUINEO,0.05071019777181378
CAUSA_FALLECIMIENTO_DANC,0.04722921348196737
CAPNOMETRIA_TRANSFERENCIA_MISSING,0.04048058813105462
HTA,0.03346962322570242
ALCOHOL,0.031152946334504928
TABACO,0.02240196768309497
RECUPERACION_ALGUN_MOMENTO,0.018645900014760283
SEXO,0.012286805971120503
DIABETES,0.008029453802915571
ADRENALINA_N_MISSING,0.0
