feature,importance
ADRENALINA_N,0.18096219461910007
EDAD,0.15840315221068232
CAPNOMETRIA_MEDIO,0.12441529421092325
IMC,0.1048746389424876
COLESTEROL,0.09307756111537667
ALCOHOL,0.07432653565461268
GRUPO_SANGUINEO,0.06888994366906594
CAUSA_FALLECIMIENTO_DANC,0.052615249627409814
HTA,0.029065660277929877
CARDIOCOMPRESION_EXTRAHOSPITALARIA,0.0280662151081499
TABACO,0.027827279040867233
CAPNOMETRIA_MEDIO_MISSING,0.02093177900725989
RECUPERACION_ALGUN_MOMENTO,0.017054279484586356
SEXO,0.013748358558382705
DIABETES,0.005741858473165922
ADRENALINA_N_MISSING,0.0
