dataset,model,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,best_cv_score,best_params,seed,experiment
mid,dummy,0.6055555555555555,0.0435677420593281,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6428571428571429,0.5,0.0,0.0,0.0,0.5,,,1,real_plus_synthetic
mid,logistic_regression,0.5291666666666666,0.1900749121326174,0.5383333333333333,0.18608540452646408,0.4385714285714286,0.2614840777227063,0.55,0.27182510717166813,0.4676984126984127,0.22849647415206306,0.5033333333333333,0.2595485158862702,0.7857142857142857,0.788888888888889,0.6666666666666666,0.8,0.7272727272727273,0.6666666666666666,0.4676984126984127,{'model__C': 0.01},1,real_plus_synthetic
mid,random_forest,0.5180555555555555,0.23365140358033748,0.515,0.24102789142430062,0.4066666666666666,0.31764760348537185,0.4666666666666666,0.35000000000000003,0.40753968253968254,0.2894272086302358,0.5366666666666666,0.31167805485234795,0.8571428571428571,0.8444444444444444,0.8,0.8,0.8,0.7333333333333334,0.40753968253968254,"{'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 300}",1,real_plus_synthetic
mid,svm,0.611111111111111,0.19671295751505796,0.6341666666666667,0.20834833279337223,0.4928571428571429,0.2548709157072839,0.7083333333333333,0.32542706982944397,0.570021645021645,0.26480056728772106,0.4372222222222222,0.24897381983446165,0.5,0.4777777777777778,0.3333333333333333,0.4,0.36363636363636365,0.44444444444444453,0.570021645021645,"{'model__C': 10, 'model__gamma': 0.01}",1,real_plus_synthetic
mid,xgboost,0.5847222222222223,0.1707203781944739,0.5850000000000001,0.1956044762041787,0.41833333333333333,0.2352835169180649,0.5333333333333333,0.38042374035044424,0.4507142857142858,0.28051226625456926,0.5372222222222223,0.19278738368638645,0.5714285714285714,0.5333333333333333,0.4,0.4,0.4,0.6000000000000001,0.4507142857142858,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.9}",1,real_plus_synthetic
mid,voting_tuned,0.5944444444444444,0.06419011115717413,0.5025000000000001,0.0505593710403917,0.13333333333333333,0.3055050463303894,0.05833333333333333,0.11814539065631521,0.07333333333333333,0.14742229591663988,0.4655555555555555,0.21639298954893602,0.5714285714285714,0.48888888888888893,0.3333333333333333,0.2,0.25,0.4666666666666667,0.07333333333333333,,1,real_plus_synthetic
transfer,dummy,0.65,0.02041241452319313,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6428571428571429,0.5,0.0,0.0,0.0,0.5,,,1,real_plus_synthetic
transfer,logistic_regression,0.6861111111111111,0.10635660955042582,0.6733333333333332,0.14798648586948743,0.47833333333333333,0.2027656008520402,0.6333333333333333,0.34801021696368506,0.5328571428571428,0.2485896727477338,0.7722222222222223,0.1967168799676264,0.7142857142857143,0.6888888888888889,0.6,0.6,0.6,0.7555555555555555,0.5328571428571428,{'model__C': 1},1,real_plus_synthetic
transfer,random_forest,0.6986111111111112,0.0993905036823047,0.6516666666666666,0.1426826315054966,0.5533333333333335,0.32359096265364257,0.5,0.3415650255319866,0.48047619047619056,0.26302961905242955,0.7833333333333333,0.18955763969155162,0.7142857142857143,0.6444444444444444,0.6666666666666666,0.4,0.5,0.7777777777777779,0.48047619047619056,"{'max_depth': 5, 'min_samples_leaf': 4, 'n_estimators': 100}",1,real_plus_synthetic
transfer,svm,0.7791666666666666,0.09611472375997752,0.745,0.14453949863849214,0.625,0.24790791301072526,0.6333333333333334,0.3144660377352201,0.6171428571428571,0.2624427375184737,0.8033333333333335,0.13572393913499928,0.5,0.3888888888888889,0.0,0.0,0.0,0.4666666666666667,0.6171428571428571,"{'model__C': 10, 'model__gamma': 'scale'}",1,real_plus_synthetic
transfer,xgboost,0.7097222222222223,0.13783628909903442,0.66,0.187409237291608,0.5266666666666666,0.3749222141547053,0.5,0.4013864859597432,0.47023809523809523,0.3303973591994742,0.7777777777777778,0.12890804455353935,0.6428571428571429,0.5888888888888889,0.5,0.4,0.4444444444444444,0.8,0.47023809523809523,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",1,real_plus_synthetic
transfer,voting_tuned,0.7444444444444444,0.06431020501550126,0.71,0.12115187896924168,0.5950000000000001,0.23991317874042128,0.6,0.32659863237109044,0.5657142857142857,0.237213127855966,0.7988888888888889,0.1779478353303727,0.5714285714285714,0.48888888888888893,0.3333333333333333,0.2,0.25,0.5777777777777778,0.5657142857142857,,1,real_plus_synthetic
mid,dummy,0.6055555555555555,0.0435677420593281,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6428571428571429,0.5,0.0,0.0,0.0,0.5,,,42,real_plus_synthetic
mid,logistic_regression,0.5472222222222222,0.11523593618161965,0.5558333333333334,0.1331274452044606,0.44000000000000006,0.09949874371066199,0.575,0.24846752526459287,0.4856349206349206,0.1360885260543972,0.5727777777777778,0.1470795954828793,0.6428571428571429,0.6333333333333333,0.5,0.6,0.5454545454545454,0.5555555555555555,0.4856349206349206,{'model__C': 0.01},42,real_plus_synthetic
mid,random_forest,0.638888888888889,0.14685488764318116,0.6241666666666668,0.15318153718165037,0.5683333333333334,0.28347545455177126,0.5416666666666667,0.2795084971874737,0.5147619047619048,0.2293261349922337,0.6422222222222221,0.18399208249202761,0.42857142857142855,0.4222222222222222,0.2857142857142857,0.4,0.3333333333333333,0.3111111111111111,0.5147619047619048,"{'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 500}",42,real_plus_synthetic
mid,svm,0.5805555555555555,0.16419463006812945,0.5833333333333333,0.16469669092000605,0.5016666666666666,0.20822663934601005,0.5666666666666667,0.21666666666666667,0.5118253968253967,0.1784710299774007,0.6022222222222222,0.22617593938249833,0.7142857142857143,0.6888888888888889,0.6,0.6,0.6,0.5333333333333334,0.5118253968253967,"{'model__C': 10, 'model__gamma': 'scale'}",42,real_plus_synthetic
mid,xgboost,0.6277777777777778,0.1740051084818425,0.6141666666666667,0.17029590260615327,0.5633333333333334,0.23732303348436753,0.5416666666666666,0.20833333333333334,0.5387301587301587,0.20533474688090175,0.6222222222222221,0.16716591890826443,0.42857142857142855,0.4222222222222222,0.2857142857142857,0.4,0.3333333333333333,0.3777777777777778,0.5387301587301587,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.9}",42,real_plus_synthetic
mid,voting_tuned,0.638888888888889,0.12438118431798952,0.5666666666666667,0.1305969201610649,0.41666666666666663,0.4425306015783918,0.2333333333333333,0.24944382578492943,0.2833333333333333,0.2891558595482912,0.6005555555555555,0.23110643691854452,0.5714285714285714,0.4444444444444444,0.0,0.0,0.0,0.5333333333333334,0.2833333333333333,,42,real_plus_synthetic
transfer,dummy,0.65,0.02041241452319313,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6428571428571429,0.5,0.0,0.0,0.0,0.5,,,42,real_plus_synthetic
transfer,logistic_regression,0.7083333333333334,0.13176156917368245,0.7150000000000001,0.13953295110634065,0.5733333333333333,0.1457166199626293,0.7333333333333333,0.2,0.6369047619047618,0.15696689282194787,0.79,0.16580890383991023,0.6428571428571429,0.6333333333333333,0.5,0.6,0.5454545454545454,0.6222222222222222,0.6369047619047618,{'model__C': 0.01},42,real_plus_synthetic
transfer,random_forest,0.7694444444444445,0.15178973435904722,0.7316666666666667,0.16320573247012837,0.7483333333333333,0.2708474355302877,0.5999999999999999,0.24944382578492943,0.6390476190476191,0.22405052880049695,0.7733333333333333,0.17883021812205074,0.6428571428571429,0.5888888888888889,0.5,0.4,0.4444444444444444,0.6222222222222222,0.6390476190476191,"{'max_depth': None, 'min_samples_leaf': 4, 'n_estimators': 100}",42,real_plus_synthetic
transfer,svm,0.7069444444444445,0.1820928148222124,0.7283333333333333,0.1876832437912346,0.5716666666666667,0.18136059844041832,0.8,0.22110831935702666,0.6630952380952381,0.1950383705489629,0.7788888888888889,0.16992736284064233,0.7142857142857143,0.6888888888888889,0.6,0.6,0.6,0.6222222222222222,0.6630952380952381,"{'model__C': 1, 'model__gamma': 0.01}",42,real_plus_synthetic
transfer,xgboost,0.7486111111111111,0.2115902822221857,0.7233333333333334,0.22793761329705012,0.6933333333333334,0.32233522922572394,0.6333333333333333,0.31446603773522014,0.6354761904761904,0.2913033694642485,0.7666666666666667,0.20067786359803516,0.5714285714285714,0.5333333333333333,0.4,0.4,0.4,0.3777777777777778,0.6354761904761904,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}",42,real_plus_synthetic
transfer,voting_tuned,0.7222222222222222,0.09781564923143893,0.65,0.0816496580927726,0.8233333333333333,0.27245794782559263,0.4,0.13333333333333333,0.5033333333333333,0.11298967504452195,0.7788888888888889,0.16992736284064233,0.6428571428571429,0.5,0.0,0.0,0.0,0.6222222222222222,0.5033333333333333,,42,real_plus_synthetic
mid,dummy,0.6055555555555555,0.0435677420593281,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6428571428571429,0.5,0.0,0.0,0.0,0.5,,,123,real_plus_synthetic
mid,logistic_regression,0.5791666666666666,0.14998070863602078,0.61,0.15128156236339943,0.5107142857142857,0.2012186511688996,0.6833333333333333,0.2905932629027116,0.5477777777777778,0.16742300043099875,0.5688888888888889,0.18625947651755223,0.7142857142857143,0.6888888888888889,0.6,0.6,0.6,0.6444444444444445,0.5477777777777778,{'model__C': 0.01},123,real_plus_synthetic
mid,random_forest,0.5875,0.15775356817392416,0.5666666666666667,0.14472195564061607,0.5283333333333333,0.21213858153993997,0.4666666666666666,0.12472191289246472,0.48119047619047617,0.13807245296428136,0.5638888888888889,0.20666741337977407,0.6428571428571429,0.5888888888888889,0.5,0.4,0.4444444444444444,0.6222222222222222,0.48119047619047617,"{'max_depth': 5, 'min_samples_leaf': 2, 'n_estimators': 100}",123,real_plus_synthetic
mid,svm,0.6458333333333333,0.14936206940779098,0.6875,0.13541346150053013,0.5711904761904761,0.1773975703305535,0.8416666666666668,0.17260262647673316,0.6592063492063492,0.12393979715255377,0.47777777777777786,0.21191367914178502,0.6428571428571429,0.6333333333333333,0.5,0.6,0.5454545454545454,0.6666666666666667,0.6592063492063492,"{'model__C': 10, 'model__gamma': 0.01}",123,real_plus_synthetic
mid,xgboost,0.65,0.1402433951262704,0.6508333333333334,0.13125727493065756,0.5983333333333333,0.18355289882392667,0.6083333333333334,0.1827642683288442,0.5777777777777778,0.13836864014093656,0.5911111111111111,0.19481235035759886,0.7142857142857143,0.6888888888888889,0.6,0.6,0.6,0.5111111111111111,0.5777777777777778,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",123,real_plus_synthetic
mid,voting_tuned,0.5458333333333334,0.12500771581124773,0.45499999999999996,0.09604686356149272,0.05,0.15000000000000002,0.05,0.15000000000000002,0.05,0.15000000000000002,0.4783333333333334,0.1937997248020062,0.7142857142857143,0.6,1.0,0.2,0.3333333333333333,0.6444444444444446,0.05,,123,real_plus_synthetic
transfer,dummy,0.65,0.02041241452319313,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6428571428571429,0.5,0.0,0.0,0.0,0.5,,,123,real_plus_synthetic
