feature,importance
CAPNOMETRIA_TRANSFERENCIA,0.202772941062426
EDAD,0.1635555394225975
ADRENALINA_N,0.16024265924562578
IMC,0.14618525233433666
COLESTEROL,0.0775099572228036
GRUPO_SANGUINEO,0.05559499154536823
CAUSA_FALLECIMIENTO_DANC,0.050580944778055505
CARDIOCOMPRESION_EXTRAHOSPITALARIA,0.03320070431629827
HTA,0.031501188054585176
CAPNOMETRIA_TRANSFERENCIA_MISSING,0.023165996982932445
TABACO,0.019635171586149136
ALCOHOL,0.016969645531703863
SEXO,0.012169388547033255
RECUPERACION_ALGUN_MOMENTO,0.0063664581288687605
DIABETES,0.0005491612412158949
ADRENALINA_N_MISSING,0.0
