feature,importance
IMC,0.17122243640390042
CAPNOMETRIA_MEDIO,0.16125800191902928
EDAD,0.14599491390301955
ADRENALINA_N,0.14385081952874393
CAUSA_FALLECIMIENTO_DANC,0.06676217286343071
GRUPO_SANGUINEO,0.04884465736342047
CAPNOMETRIA_MEDIO_MISSING,0.04809964354845623
TABACO,0.046262511697954506
HTA,0.03453895962415281
COLESTEROL,0.03204549501046352
CARDIOCOMPRESION_EXTRAHOSPITALARIA,0.030552065013220518
RECUPERACION_ALGUN_MOMENTO,0.023620190423004183
ALCOHOL,0.01754279817933659
SEXO,0.017008337662382828
DIABETES,0.012396996859484491
ADRENALINA_N_MISSING,0.0
